source,url,paragraph,categories
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Antisemitismor Jew-hatredis hostility to, prejudice towards, or discrimination against Jews. A person who harbours it is called anantisemite.Whether antisemitism is considered a form ofracismdepends on the school of thought.Antisemitic tendencies may be motivated primarily by negative sentiment towards Jews as a peopleor negative sentiment towards Jews with regard to Judaism. In the former case, usually known asracial antisemitism, a person's hostility is driven by the belief that Jews constitute a distinct race with inherent traits or characteristics that are repulsive or inferior to the preferred traits or characteristics within that person's society.In the latter case, known asreligious antisemitism, a person's hostility is driven by their religion's perception of Jews and Judaism, typically encompassing doctrines of supersession that expect or demand Jews to turn away from Judaism and submit to the religion presenting itself as Judaism's successor faithג€”this is a common theme within the other Abrahamic religions.The development of racial and religious antisemitism has historically been encouraged byanti-Judaism,which is distinct from antisemitism itself.","[1, 2]	"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"There are various ways in which antisemitism is manifested, ranging in the level of severity of Jewish persecution. On the more subtle end, it consists of expressions of hatred or discrimination against individual Jews and may or may not be accompanied by violence. On the most extreme end, it consists ofpogromsorgenocide, which may or may not be state-sponsored. Although the term ""antisemitism"" did not come into common usage until the 19th century, it is also applied to previous and later anti-Jewish incidents.Historically, most of the world's violent antisemitic events have taken place in Europe, where modern antisemitism began to emerge fromantisemitism in Christian communitiesduring the Middle Ages. Since the early 20th century, there has been a sharp rise inantisemitic incidents across the Arab world, largely due to the advent of Arab antisemitic conspiracy theories, which were influenced by European antisemitic conspiracy theories.","[1, 5]	"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"In recent times, the idea that there is a variation of antisemitism known as ""new antisemitism"" has emerged on several occasions. According to this view, since Israelis a Jewish state, expressions ofanti-Zionist positionscould harbour antisemitic sentiments, andcriticism of Israelcan serve as a vehicle for attacks against Jews in general.","[3]	"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The compound wordantisemitismuswas first used in print in Germanyin 1879as a ""scientific-sounding term"" for Judenhass(lit.'Jew-hatred'),and it has since been used to refer to anti-Jewish sentiment alone.Due to the root word Semite, the term is sometimes subject to anetymological fallacywhereby it is incorrectly assumed to apply to racist hatred directed at ""Semitic people"", in spite of this being anobsolete racial concept.","[1]	"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The word ""Semitic"" was coined by German orientalist August Ludwig von Schlֳ¶zerin 1781 to designate the Semitic group of languagesג€”Aramaic,Arabic,Hebrewand othersג€”allegedly spoken by the descendants of Biblical figure Shem, son of Noah.","[1]	"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The origin of ""antisemitic"" terminologies is found in the responses of orientalist Moritz Steinschneiderto the views of orientalist Ernest Renan. Historian Alex Beinwrites: ""The compound anti-Semitism appears to have been used first by Steinschneider, who challenged Renan on account of his 'anti-Semitic prejudices' [i.e., his derogation of the ""Semites"" as arace].""Psychologist Avner Falksimilarly writes: ""The German word ""antisemitisch"" was first used in 1860 by the Austrian Jewish scholar Moritz Steinschneider (1816ג€“1907) in the phrase ""antisemitische Vorurteile"" (antisemitic prejudices). Steinschneider used this phrase to characterise the French philosopher Ernest Renan's false ideas about how 'Semitic races' were inferior to 'Aryan races'"".","[1, 2]	"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"Pseudoscientifictheoriesconcerning race, civilization, and ""progress"" had become quite widespread in Europe in the second half of the 19th century, especially as Prussiannationalistic historian Heinrich von Treitschkedid much to promote this form of racism. He coined the phrase ""the Jews are our misfortune"" which would later be widely used by Nazis.According to Falk, Treitschke uses the term ""Semitic"" almost synonymously with ""Jewish"", in contrast to Renan's use of it to refer to a whole range of peoples,based generally on linguistic criteria.","[1, 2]	"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"According to philologist Jonathan M. Hess, the term was originally used by its authors to ""stress the radical difference between their own 'antisemitism' and earlier forms of antagonism toward Jews and Judaism.""",[1]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"In 1879, German journalist Wilhelm Marrpublished a pamphlet,Der Sieg des Judenthums ֳ¼ber das Germanenthum. Vom nicht confessionellen Standpunkt aus betrachtet(The Victory of the Jewish Spirit over the Germanic Spirit. Observed from a non-religious perspective) in which he used the word ""Semitismus"" interchangeably with the word ""Judentum"" to denote both ""Jewry"" (the Jews as a collective) and ""Jewishness"" (the quality of being Jewish, or the Jewish spirit).He accused the Jews of a worldwide conspiracy against non-Jews, called for resistance against ""this foreign power"", and claimed that ""there will be absolutely no public office, even the highest one, which the Jews will not have usurped"".[better source needed]","[1, 2, 5]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"This followed his 1862 book ""Die Judenspiegel"" (A Mirror to the Jews) in which he argued that ""Judaism must cease to exist if humanity is to commence"", demanding both that Judaism be dissolved as a ""religious-denominational sect"" but also subject to criticism ""as a race, a civil and social entity"".In the introductions to the first through fourth editions of ""Der Judenspiegel"", Marr denied that he intended to preach Jew-hatred, but instead to help ""the Jews reach their full human potential"" which could happen only ""through the downfall of Judaism, a phenomenon that negates everything purely human and noble.""","[1, 2]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"This use of Semitismuswas followed by a coining of ""Antisemitismus"" which was used to indicate opposition to the Jews as a peopleand opposition to the Jewish spirit, which Marr interpreted as infiltrating German culture.","[1, 2]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The pamphlet became very popular, and in the same year Marr founded the ""Antisemiten-Liga"" (League of Antisemites),apparently named to follow the ""Anti-Kanzler-Liga"" (Anti-Chancellor League).The league was the first German organisation committed specifically to combating the alleged threat to Germany and German culture posed by the Jews and their influence and advocating theirforced removalfrom the country.[citation needed]","[1, 2]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"So far as can be ascertained, the word was first widely printed in 1881, when Marr published Zwanglose Antisemitische Hefte, and Wilhelm Schererused the term Antisemitenin the January issue of Neue Freie Presse.","[1, 2]"
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The Jewish Encyclopediareports, ""In February 1881, a correspondent of the ""Allgemeine Zeitung des Judentums"" speaks of 'Anti-Semitism' as a designation which recently came into use (""Allg. Zeit. d. Jud."" 1881, p. 138). On 19 July 1882, the editor says, 'This quite recent Anti-Semitism is hardly three years old.'""",[0]
Wikipedia,https://en.wikipedia.org/wiki/Antisemitism,"The word ""antisemitism"" was borrowed into English from German in 1881.Oxford English Dictionaryeditor James Murraywrote that it was not included in the first edition because ""Anti-Semite and its family were then probably very new in English use, and not thought likely to be more than passing nonce-words... Would that anti-Semitism had had no more than a fleeting interest!""The related term ""philosemitism"" was used by 1881.",[0]
